date,category,daily_spend
2026-06-16,Groceries & Food,14.18
2026-06-17,Groceries & Food,13.07
2026-06-18,Groceries & Food,14.29
2026-06-19,Groceries & Food,8.09
2026-06-20,Groceries & Food,21.9
2026-06-21,Groceries & Food,23.7
2026-06-22,Groceries & Food,18.62
2026-06-23,Groceries & Food,12.68
2026-06-24,Groceries & Food,11.85
2026-06-25,Groceries & Food,12.82
2026-06-26,Groceries & Food,17.12
2026-06-27,Groceries & Food,24.05
2026-06-28,Groceries & Food,21.55
2026-06-29,Groceries & Food,16.04
2026-06-30,Groceries & Food,14.84
2026-07-01,Groceries & Food,17.5
2026-07-02,Groceries & Food,12.53
2026-07-03,Groceries & Food,13.7
2026-07-04,Groceries & Food,22.39
2026-07-05,Groceries & Food,19.25
2026-07-06,Groceries & Food,15.71
2026-07-07,Groceries & Food,15.65
2026-07-08,Groceries & Food,14.93
2026-07-09,Groceries & Food,14.25
2026-07-10,Groceries & Food,10.75
2026-07-11,Groceries & Food,22.81
2026-07-12,Groceries & Food,23.12
2026-07-13,Groceries & Food,12.73
2026-07-14,Groceries & Food,14.7
2026-07-15,Groceries & Food,16.44
2026-07-16,Groceries & Food,20.93
2026-07-17,Groceries & Food,15.84
2026-07-18,Groceries & Food,25.35
2026-07-19,Groceries & Food,24.42
2026-07-20,Groceries & Food,9.69
2026-07-21,Groceries & Food,15.42
2026-07-22,Groceries & Food,15.72
2026-07-23,Groceries & Food,22.97
2026-07-24,Groceries & Food,15.05
2026-07-25,Groceries & Food,25.98
2026-07-26,Groceries & Food,25.05
2026-07-27,Groceries & Food,12.26
2026-07-28,Groceries & Food,19.24
2026-07-29,Groceries & Food,18.11
2026-07-30,Groceries & Food,18.27
2026-07-31,Groceries & Food,13.22
2026-08-01,Groceries & Food,29.79
2026-08-02,Groceries & Food,21.45
2026-08-03,Groceries & Food,17.84
2026-08-04,Groceries & Food,22.7
2026-08-05,Groceries & Food,13.2
2026-08-06,Groceries & Food,14.52
2026-08-07,Groceries & Food,16.56
2026-08-08,Groceries & Food,24.58
2026-08-09,Groceries & Food,21.51
2026-08-10,Groceries & Food,16.6
2026-08-11,Groceries & Food,13.25
2026-08-12,Groceries & Food,17.91
2026-08-13,Groceries & Food,13.77
2026-08-14,Groceries & Food,21.22
2026-08-15,Groceries & Food,24.24
2026-08-16,Groceries & Food,25.7
2026-08-17,Groceries & Food,19.15
2026-08-18,Groceries & Food,13.06
2026-08-19,Groceries & Food,17.48
2026-08-20,Groceries & Food,20.77
2026-08-21,Groceries & Food,12.07
2026-08-22,Groceries & Food,27.65
2026-08-23,Groceries & Food,27.95
2026-08-24,Groceries & Food,19.37
2026-08-25,Groceries & Food,13.36
2026-08-26,Groceries & Food,13.15
2026-08-27,Groceries & Food,18.73
2026-08-28,Groceries & Food,18.1
2026-08-29,Groceries & Food,28.35
2026-08-30,Groceries & Food,28.71
2026-08-31,Groceries & Food,15.3
2026-09-01,Groceries & Food,18.08
2026-09-02,Groceries & Food,18.31
2026-04-01,Shopping & Personal,0.64
2026-04-02,Shopping & Personal,11.0
2026-04-03,Shopping & Personal,5.47
2026-04-04,Shopping & Personal,0.28
2026-04-05,Shopping & Personal,7.72
2026-04-06,Shopping & Personal,0.0
2026-04-07,Shopping & Personal,6.86
2026-04-08,Shopping & Personal,8.38
2026-04-09,Shopping & Personal,0.5
2026-04-10,Shopping & Personal,7.67
2026-04-11,Shopping & Personal,7.04
2026-04-12,Shopping & Personal,8.73
2026-04-13,Shopping & Personal,11.51
2026-04-14,Shopping & Personal,2.97
2026-04-15,Shopping & Personal,0.98
2026-04-16,Shopping & Personal,0.47
2026-04-17,Shopping & Personal,0.8
2026-04-18,Shopping & Personal,5.42
2026-04-19,Shopping & Personal,7.15
2026-04-20,Shopping & Personal,5.27
2026-04-21,Shopping & Personal,7.51
2026-04-22,Shopping & Personal,4.29
2026-04-23,Shopping & Personal,10.08
2026-04-24,Shopping & Personal,3.25
2026-04-25,Shopping & Personal,16.96
2026-04-26,Shopping & Personal,8.63
2026-04-27,Shopping & Personal,0.98
2026-04-28,Shopping & Personal,0.16
2026-04-29,Shopping & Personal,6.41
2026-04-30,Shopping & Personal,3.62
2026-05-01,Shopping & Personal,7.41
2026-05-02,Shopping & Personal,8.31
2026-05-03,Shopping & Personal,6.18
2026-05-04,Shopping & Personal,1.27
2026-05-05,Shopping & Personal,0.0
2026-05-06,Shopping & Personal,2.94
2026-05-07,Shopping & Personal,8.19
2026-05-08,Shopping & Personal,5.65
2026-05-09,Shopping & Personal,1.78
2026-05-10,Shopping & Personal,7.5
2026-05-11,Shopping & Personal,6.44
2026-05-12,Shopping & Personal,1.4
2026-05-13,Shopping & Personal,5.58
2026-05-14,Shopping & Personal,5.24
2026-05-15,Shopping & Personal,0.47
2026-05-16,Shopping & Personal,8.54
2026-05-17,Shopping & Personal,9.4
2026-05-18,Shopping & Personal,9.48
2026-05-19,Shopping & Personal,9.4
2026-05-20,Shopping & Personal,0.0
2026-05-21,Shopping & Personal,1.5
2026-05-22,Shopping & Personal,7.35
2026-05-23,Shopping & Personal,9.5
2026-05-24,Shopping & Personal,9.56
2026-05-25,Shopping & Personal,20.8
2026-05-26,Shopping & Personal,7.71
2026-05-27,Shopping & Personal,10.0
2026-05-28,Shopping & Personal,9.31
2026-05-29,Shopping & Personal,8.14
2026-05-30,Shopping & Personal,6.53
2026-05-31,Shopping & Personal,10.88
2026-06-01,Shopping & Personal,2.54
2026-06-02,Shopping & Personal,4.72
2026-06-03,Shopping & Personal,3.76
2026-06-04,Shopping & Personal,6.07
2026-06-05,Shopping & Personal,15.03
2026-06-06,Shopping & Personal,0.66
2026-06-07,Shopping & Personal,10.93
2026-06-08,Shopping & Personal,0.0
2026-06-09,Shopping & Personal,4.03
2026-06-10,Shopping & Personal,10.31
2026-06-11,Shopping & Personal,6.24
2026-06-12,Shopping & Personal,1.71
2026-06-13,Shopping & Personal,5.62
2026-06-14,Shopping & Personal,11.24
2026-06-15,Shopping & Personal,3.2
2026-06-16,Shopping & Personal,7.03
2026-06-17,Shopping & Personal,6.38
2026-06-18,Shopping & Personal,3.62
2026-06-19,Shopping & Personal,14.84
2026-06-20,Shopping & Personal,11.36
2026-06-21,Shopping & Personal,0.77
2026-06-22,Shopping & Personal,7.12
2026-06-23,Shopping & Personal,3.76
2026-06-24,Shopping & Personal,9.85
2026-06-25,Shopping & Personal,3.3
2026-06-26,Shopping & Personal,6.05
2026-06-27,Shopping & Personal,11.18
2026-06-28,Shopping & Personal,12.68
2026-06-29,Shopping & Personal,1.81
2026-06-30,Shopping & Personal,5.31
2026-07-01,Shopping & Personal,4.79
2026-07-02,Shopping & Personal,4.11
2026-07-03,Shopping & Personal,13.82
2026-07-04,Shopping & Personal,11.13
2026-07-05,Shopping & Personal,4.51
2026-07-06,Shopping & Personal,10.53
2026-07-07,Shopping & Personal,15.38
2026-07-08,Shopping & Personal,11.06
2026-07-09,Shopping & Personal,0.89
2026-07-10,Shopping & Personal,5.06
2026-07-11,Shopping & Personal,14.92
2026-07-12,Shopping & Personal,7.07
2026-07-13,Shopping & Personal,8.88
2026-07-14,Shopping & Personal,10.24
2026-07-15,Shopping & Personal,3.47
2026-07-16,Shopping & Personal,6.97
2026-07-17,Shopping & Personal,0.0
2026-07-18,Shopping & Personal,6.09
2026-07-19,Shopping & Personal,9.23
2026-07-20,Shopping & Personal,2.36
2026-07-21,Shopping & Personal,13.91
2026-07-22,Shopping & Personal,1.7
2026-07-23,Shopping & Personal,5.69
2026-07-24,Shopping & Personal,8.01
2026-07-25,Shopping & Personal,16.3
2026-07-26,Shopping & Personal,4.84
2026-07-27,Shopping & Personal,12.25
2026-07-28,Shopping & Personal,7.67
2026-07-29,Shopping & Personal,3.74
2026-07-30,Shopping & Personal,9.55
2026-07-31,Shopping & Personal,8.53
2026-08-01,Shopping & Personal,8.48
2026-08-02,Shopping & Personal,11.21
2026-08-03,Shopping & Personal,6.3
2026-08-04,Shopping & Personal,8.33
2026-08-05,Shopping & Personal,10.56
2026-08-06,Shopping & Personal,14.29
2026-08-07,Shopping & Personal,3.03
2026-08-08,Shopping & Personal,19.75
2026-08-09,Shopping & Personal,3.46
2026-08-10,Shopping & Personal,7.48
2026-08-11,Shopping & Personal,10.47
2026-08-12,Shopping & Personal,9.28
2026-08-13,Shopping & Personal,5.7
2026-08-14,Shopping & Personal,7.39
2026-08-15,Shopping & Personal,9.59
2026-08-16,Shopping & Personal,9.26
2026-08-17,Shopping & Personal,11.73
2026-08-18,Shopping & Personal,9.79
2026-08-19,Shopping & Personal,5.63
2026-08-20,Shopping & Personal,12.03
2026-08-21,Shopping & Personal,9.7
2026-08-22,Shopping & Personal,15.16
2026-08-23,Shopping & Personal,14.47
2026-08-24,Shopping & Personal,5.26
2026-08-25,Shopping & Personal,6.37
2026-08-26,Shopping & Personal,11.63
2026-08-27,Shopping & Personal,11.12
2026-08-28,Shopping & Personal,8.63
2026-08-29,Shopping & Personal,12.72
2026-08-30,Shopping & Personal,17.41
2026-08-31,Shopping & Personal,6.45
2026-09-01,Shopping & Personal,11.04
2026-09-02,Shopping & Personal,8.08
2026-04-01,Transport,3.54
2026-04-02,Transport,5.12
2026-04-03,Transport,4.79
2026-04-04,Transport,3.64
2026-04-05,Transport,4.23
2026-04-06,Transport,3.83
2026-04-07,Transport,4.62
2026-04-08,Transport,3.43
2026-04-09,Transport,4.19
2026-04-10,Transport,3.64
2026-04-11,Transport,2.78
2026-04-12,Transport,3.37
2026-04-13,Transport,2.82
2026-04-14,Transport,6.31
2026-04-15,Transport,2.59
2026-04-16,Transport,2.34
2026-04-17,Transport,5.19
2026-04-18,Transport,3.61
2026-04-19,Transport,3.41
2026-04-20,Transport,4.55
2026-04-21,Transport,3.79
2026-04-22,Transport,2.72
2026-04-23,Transport,3.89
2026-04-24,Transport,2.99
2026-04-25,Transport,3.83
2026-04-26,Transport,2.48
2026-04-27,Transport,2.81
2026-04-28,Transport,3.41
2026-04-29,Transport,4.3
2026-04-30,Transport,3.12
2026-05-01,Transport,2.81
2026-05-02,Transport,2.95
2026-05-03,Transport,2.95
2026-05-04,Transport,3.19
2026-05-05,Transport,3.23
2026-05-06,Transport,4.08
2026-05-07,Transport,2.06
2026-05-08,Transport,2.11
2026-05-09,Transport,1.8
2026-05-10,Transport,2.4
2026-05-11,Transport,4.17
2026-05-12,Transport,5.57
2026-05-13,Transport,4.83
2026-05-14,Transport,3.61
2026-05-15,Transport,3.78
2026-05-16,Transport,1.46
2026-05-17,Transport,2.64
2026-05-18,Transport,3.45
2026-05-19,Transport,4.19
2026-05-20,Transport,2.81
2026-05-21,Transport,4.42
2026-05-22,Transport,5.64
2026-05-23,Transport,2.53
2026-05-24,Transport,3.14
2026-05-25,Transport,4.63
2026-05-26,Transport,3.32
2026-05-27,Transport,4.07
2026-05-28,Transport,3.82
2026-05-29,Transport,3.92
2026-05-30,Transport,1.73
2026-05-31,Transport,2.69
2026-06-01,Transport,4.4
2026-06-02,Transport,5.54
2026-06-03,Transport,4.95
2026-06-04,Transport,6.38
2026-06-05,Transport,2.88
2026-06-06,Transport,3.71
2026-06-07,Transport,2.88
2026-06-08,Transport,6.43
2026-06-09,Transport,2.83
2026-06-10,Transport,2.79
2026-06-11,Transport,3.08
2026-06-12,Transport,1.25
2026-06-13,Transport,2.03
2026-06-14,Transport,1.75
2026-06-15,Transport,3.98
2026-06-16,Transport,4.21
2026-06-17,Transport,6.05
2026-06-18,Transport,4.94
2026-06-19,Transport,3.11
2026-06-20,Transport,1.58
2026-06-21,Transport,3.25
2026-06-22,Transport,2.22
2026-06-23,Transport,6.0
2026-06-24,Transport,5.22
2026-06-25,Transport,3.24
2026-06-26,Transport,1.74
2026-06-27,Transport,4.28
2026-06-28,Transport,2.52
2026-06-29,Transport,5.29
2026-06-30,Transport,1.89
2026-07-01,Transport,3.08
2026-07-02,Transport,3.81
2026-07-03,Transport,3.86
2026-07-04,Transport,2.12
2026-07-05,Transport,3.41
2026-07-06,Transport,2.52
2026-07-07,Transport,3.63
2026-07-08,Transport,3.94
2026-07-09,Transport,4.42
2026-07-10,Transport,4.65
2026-07-11,Transport,1.31
2026-07-12,Transport,0.82
2026-07-13,Transport,5.33
2026-07-14,Transport,4.2
2026-07-15,Transport,2.9
2026-07-16,Transport,5.66
2026-07-17,Transport,3.94
2026-07-18,Transport,4.08
2026-07-19,Transport,2.74
2026-07-20,Transport,6.27
2026-07-21,Transport,5.91
2026-07-22,Transport,3.5
2026-07-23,Transport,4.97
2026-07-24,Transport,4.57
2026-07-25,Transport,4.3
2026-07-26,Transport,1.5
2026-07-27,Transport,4.62
2026-07-28,Transport,5.07
2026-07-29,Transport,1.69
2026-07-30,Transport,2.38
2026-07-31,Transport,1.35
2026-08-01,Transport,2.34
2026-08-02,Transport,3.52
2026-08-03,Transport,5.6
2026-08-04,Transport,3.89
2026-08-05,Transport,5.75
2026-08-06,Transport,2.14
2026-08-07,Transport,1.76
2026-08-08,Transport,2.59
2026-08-09,Transport,3.12
2026-08-10,Transport,3.76
2026-08-11,Transport,1.32
2026-08-12,Transport,3.69
2026-08-13,Transport,2.23
2026-08-14,Transport,4.6
2026-08-15,Transport,3.1
2026-08-16,Transport,1.53
2026-08-17,Transport,3.18
2026-08-18,Transport,2.53
2026-08-19,Transport,3.72
2026-08-20,Transport,4.95
2026-08-21,Transport,2.62
2026-08-22,Transport,3.26
2026-08-23,Transport,2.02
2026-08-24,Transport,2.85
2026-08-25,Transport,3.67
2026-08-26,Transport,2.56
2026-08-27,Transport,3.14
2026-08-28,Transport,2.36
2026-08-29,Transport,5.02
2026-08-30,Transport,2.7
2026-08-31,Transport,2.96
2026-09-01,Transport,4.06
2026-09-02,Transport,3.67
2026-04-01,Subscriptions & Entertainment,2.05
2026-04-02,Subscriptions & Entertainment,4.14
2026-04-03,Subscriptions & Entertainment,4.49
2026-04-04,Subscriptions & Entertainment,3.35
2026-04-05,Subscriptions & Entertainment,3.24
2026-04-06,Subscriptions & Entertainment,1.91
2026-04-07,Subscriptions & Entertainment,0.0
2026-04-08,Subscriptions & Entertainment,0.0
2026-04-09,Subscriptions & Entertainment,6.02
2026-04-10,Subscriptions & Entertainment,6.71
2026-04-11,Subscriptions & Entertainment,4.06
2026-04-12,Subscriptions & Entertainment,6.12
2026-04-13,Subscriptions & Entertainment,3.38
2026-04-14,Subscriptions & Entertainment,10.3
2026-04-15,Subscriptions & Entertainment,5.4
2026-04-16,Subscriptions & Entertainment,2.28
2026-04-17,Subscriptions & Entertainment,0.21
2026-04-18,Subscriptions & Entertainment,0.66
2026-04-19,Subscriptions & Entertainment,5.19
2026-04-20,Subscriptions & Entertainment,0.71
2026-04-21,Subscriptions & Entertainment,0.0
2026-04-22,Subscriptions & Entertainment,0.98
2026-04-23,Subscriptions & Entertainment,0.0
2026-04-24,Subscriptions & Entertainment,6.82
2026-04-25,Subscriptions & Entertainment,6.88
2026-04-26,Subscriptions & Entertainment,4.66
2026-04-27,Subscriptions & Entertainment,6.3
2026-04-28,Subscriptions & Entertainment,2.79
2026-04-29,Subscriptions & Entertainment,0.45
2026-04-30,Subscriptions & Entertainment,6.41
2026-05-01,Subscriptions & Entertainment,3.95
2026-05-02,Subscriptions & Entertainment,2.09
2026-05-03,Subscriptions & Entertainment,4.2
2026-05-04,Subscriptions & Entertainment,0.41
2026-05-05,Subscriptions & Entertainment,0.0
2026-05-06,Subscriptions & Entertainment,4.92
2026-05-07,Subscriptions & Entertainment,7.37
2026-05-08,Subscriptions & Entertainment,0.0
2026-05-09,Subscriptions & Entertainment,6.09
2026-05-10,Subscriptions & Entertainment,3.05
2026-05-11,Subscriptions & Entertainment,1.38
2026-05-12,Subscriptions & Entertainment,1.12
2026-05-13,Subscriptions & Entertainment,0.44
2026-05-14,Subscriptions & Entertainment,2.72
2026-05-15,Subscriptions & Entertainment,0.52
2026-05-16,Subscriptions & Entertainment,5.36
2026-05-17,Subscriptions & Entertainment,4.55
2026-05-18,Subscriptions & Entertainment,2.0
2026-05-19,Subscriptions & Entertainment,0.33
2026-05-20,Subscriptions & Entertainment,1.16
2026-05-21,Subscriptions & Entertainment,4.49
2026-05-22,Subscriptions & Entertainment,3.85
2026-05-23,Subscriptions & Entertainment,2.24
2026-05-24,Subscriptions & Entertainment,4.93
2026-05-25,Subscriptions & Entertainment,4.48
2026-05-26,Subscriptions & Entertainment,0.0
2026-05-27,Subscriptions & Entertainment,3.96
2026-05-28,Subscriptions & Entertainment,0.94
2026-05-29,Subscriptions & Entertainment,4.03
2026-05-30,Subscriptions & Entertainment,2.77
2026-05-31,Subscriptions & Entertainment,0.17
2026-06-01,Subscriptions & Entertainment,0.0
2026-06-02,Subscriptions & Entertainment,2.72
2026-06-03,Subscriptions & Entertainment,3.25
2026-06-04,Subscriptions & Entertainment,0.34
2026-06-05,Subscriptions & Entertainment,4.2
2026-06-06,Subscriptions & Entertainment,0.53
2026-06-07,Subscriptions & Entertainment,4.51
2026-06-08,Subscriptions & Entertainment,0.0
2026-06-09,Subscriptions & Entertainment,0.97
2026-06-10,Subscriptions & Entertainment,2.72
2026-06-11,Subscriptions & Entertainment,0.45
2026-06-12,Subscriptions & Entertainment,1.64
2026-06-13,Subscriptions & Entertainment,7.2
2026-06-14,Subscriptions & Entertainment,3.24
2026-06-15,Subscriptions & Entertainment,4.69
2026-06-16,Subscriptions & Entertainment,0.0
2026-06-17,Subscriptions & Entertainment,3.92
2026-06-18,Subscriptions & Entertainment,6.2
2026-06-19,Subscriptions & Entertainment,0.0
2026-06-20,Subscriptions & Entertainment,2.69
2026-06-21,Subscriptions & Entertainment,6.12
2026-06-22,Subscriptions & Entertainment,2.09
2026-06-23,Subscriptions & Entertainment,3.53
2026-06-24,Subscriptions & Entertainment,1.09
2026-06-25,Subscriptions & Entertainment,2.82
2026-06-26,Subscriptions & Entertainment,2.21
2026-06-27,Subscriptions & Entertainment,7.6
2026-06-28,Subscriptions & Entertainment,5.32
2026-06-29,Subscriptions & Entertainment,3.44
2026-06-30,Subscriptions & Entertainment,1.57
2026-07-01,Subscriptions & Entertainment,1.38
2026-07-02,Subscriptions & Entertainment,1.52
2026-07-03,Subscriptions & Entertainment,3.59
2026-07-04,Subscriptions & Entertainment,3.63
2026-07-05,Subscriptions & Entertainment,5.4
2026-07-06,Subscriptions & Entertainment,7.79
2026-07-07,Subscriptions & Entertainment,4.78
2026-07-08,Subscriptions & Entertainment,1.78
2026-07-09,Subscriptions & Entertainment,5.6
2026-07-10,Subscriptions & Entertainment,1.58
2026-07-11,Subscriptions & Entertainment,0.0
2026-07-12,Subscriptions & Entertainment,2.16
2026-07-13,Subscriptions & Entertainment,0.0
2026-07-14,Subscriptions & Entertainment,1.72
2026-07-15,Subscriptions & Entertainment,2.65
2026-07-16,Subscriptions & Entertainment,6.79
2026-07-17,Subscriptions & Entertainment,3.42
2026-07-18,Subscriptions & Entertainment,4.13
2026-07-19,Subscriptions & Entertainment,6.75
2026-07-20,Subscriptions & Entertainment,0.0
2026-07-21,Subscriptions & Entertainment,3.19
2026-07-22,Subscriptions & Entertainment,4.53
2026-07-23,Subscriptions & Entertainment,0.0
2026-07-24,Subscriptions & Entertainment,5.46
2026-07-25,Subscriptions & Entertainment,5.53
2026-07-26,Subscriptions & Entertainment,3.64
2026-07-27,Subscriptions & Entertainment,4.18
2026-07-28,Subscriptions & Entertainment,8.28
2026-07-29,Subscriptions & Entertainment,3.05
2026-07-30,Subscriptions & Entertainment,3.22
2026-07-31,Subscriptions & Entertainment,1.45
2026-08-01,Subscriptions & Entertainment,2.56
2026-08-02,Subscriptions & Entertainment,6.76
2026-08-03,Subscriptions & Entertainment,0.46
2026-08-04,Subscriptions & Entertainment,2.78
2026-08-05,Subscriptions & Entertainment,1.41
2026-08-06,Subscriptions & Entertainment,3.8
2026-08-07,Subscriptions & Entertainment,3.43
2026-08-08,Subscriptions & Entertainment,7.27
2026-08-09,Subscriptions & Entertainment,3.4
2026-08-10,Subscriptions & Entertainment,1.93
2026-08-11,Subscriptions & Entertainment,0.15
2026-08-12,Subscriptions & Entertainment,1.49
2026-08-13,Subscriptions & Entertainment,3.54
2026-08-14,Subscriptions & Entertainment,4.49
2026-08-15,Subscriptions & Entertainment,2.37
2026-08-16,Subscriptions & Entertainment,6.85
2026-08-17,Subscriptions & Entertainment,5.99
2026-08-18,Subscriptions & Entertainment,3.63
2026-08-19,Subscriptions & Entertainment,7.29
2026-08-20,Subscriptions & Entertainment,0.67
2026-08-21,Subscriptions & Entertainment,0.0
2026-08-22,Subscriptions & Entertainment,0.23
2026-08-23,Subscriptions & Entertainment,8.42
2026-08-24,Subscriptions & Entertainment,4.24
2026-08-25,Subscriptions & Entertainment,2.46
2026-08-26,Subscriptions & Entertainment,3.3
2026-08-27,Subscriptions & Entertainment,0.0
2026-08-28,Subscriptions & Entertainment,8.71
2026-08-29,Subscriptions & Entertainment,5.0
2026-08-30,Subscriptions & Entertainment,4.95
2026-08-31,Subscriptions & Entertainment,4.41
2026-09-01,Subscriptions & Entertainment,3.8
2026-09-02,Subscriptions & Entertainment,3.16
2026-04-01,Rent & Utilities,28.31
2026-04-02,Rent & Utilities,30.21
2026-04-03,Rent & Utilities,32.32
2026-04-04,Rent & Utilities,31.52
2026-04-05,Rent & Utilities,31.89
2026-04-06,Rent & Utilities,28.73
2026-04-07,Rent & Utilities,28.02
2026-04-08,Rent & Utilities,29.31
2026-04-09,Rent & Utilities,29.58
2026-04-10,Rent & Utilities,31.14
2026-04-11,Rent & Utilities,26.96
2026-04-12,Rent & Utilities,31.79
2026-04-13,Rent & Utilities,29.26
2026-04-14,Rent & Utilities,28.86
2026-04-15,Rent & Utilities,27.98
2026-04-16,Rent & Utilities,27.02
2026-04-17,Rent & Utilities,30.73
2026-04-18,Rent & Utilities,29.61
2026-04-19,Rent & Utilities,27.57
2026-04-20,Rent & Utilities,27.56
2026-04-21,Rent & Utilities,29.0
2026-04-22,Rent & Utilities,32.0
2026-04-23,Rent & Utilities,29.11
2026-04-24,Rent & Utilities,27.25
2026-04-25,Rent & Utilities,29.13
2026-04-26,Rent & Utilities,29.09
2026-04-27,Rent & Utilities,25.45
2026-04-28,Rent & Utilities,29.42
2026-04-29,Rent & Utilities,29.15
2026-04-30,Rent & Utilities,30.54
2026-05-01,Rent & Utilities,32.27
2026-05-02,Rent & Utilities,31.19
2026-05-03,Rent & Utilities,29.1
2026-05-04,Rent & Utilities,27.84
2026-05-05,Rent & Utilities,33.36
2026-05-06,Rent & Utilities,29.59
2026-05-07,Rent & Utilities,29.52
2026-05-08,Rent & Utilities,29.46
2026-05-09,Rent & Utilities,29.8
2026-05-10,Rent & Utilities,29.28
2026-05-11,Rent & Utilities,28.64
2026-05-12,Rent & Utilities,28.68
2026-05-13,Rent & Utilities,29.45
2026-05-14,Rent & Utilities,28.68
2026-05-15,Rent & Utilities,28.43
2026-05-16,Rent & Utilities,29.66
2026-05-17,Rent & Utilities,29.12
2026-05-18,Rent & Utilities,31.76
2026-05-19,Rent & Utilities,25.52
2026-05-20,Rent & Utilities,31.14
2026-05-21,Rent & Utilities,31.37
2026-05-22,Rent & Utilities,26.39
2026-05-23,Rent & Utilities,28.99
2026-05-24,Rent & Utilities,28.94
2026-05-25,Rent & Utilities,27.39
2026-05-26,Rent & Utilities,28.33
2026-05-27,Rent & Utilities,27.83
2026-05-28,Rent & Utilities,32.13
2026-05-29,Rent & Utilities,30.9
2026-05-30,Rent & Utilities,31.41
2026-05-31,Rent & Utilities,30.58
2026-06-01,Rent & Utilities,27.81
2026-06-02,Rent & Utilities,28.71
2026-06-03,Rent & Utilities,30.23
2026-06-04,Rent & Utilities,27.67
2026-06-05,Rent & Utilities,30.57
2026-06-06,Rent & Utilities,29.14
2026-06-07,Rent & Utilities,28.94
2026-06-08,Rent & Utilities,30.57
2026-06-09,Rent & Utilities,30.17
2026-06-10,Rent & Utilities,28.96
2026-06-11,Rent & Utilities,31.24
2026-06-12,Rent & Utilities,27.88
2026-06-13,Rent & Utilities,30.42
2026-06-14,Rent & Utilities,30.39
2026-06-15,Rent & Utilities,29.04
2026-06-16,Rent & Utilities,29.99
2026-06-17,Rent & Utilities,27.62
2026-06-18,Rent & Utilities,30.89
2026-06-19,Rent & Utilities,29.22
2026-06-20,Rent & Utilities,28.72
2026-06-21,Rent & Utilities,31.07
2026-06-22,Rent & Utilities,28.44
2026-06-23,Rent & Utilities,27.39
2026-06-24,Rent & Utilities,27.17
2026-06-25,Rent & Utilities,30.41
2026-06-26,Rent & Utilities,27.58
2026-06-27,Rent & Utilities,32.13
2026-06-28,Rent & Utilities,26.38
2026-06-29,Rent & Utilities,32.04
2026-06-30,Rent & Utilities,29.82
2026-07-01,Rent & Utilities,29.35
2026-07-02,Rent & Utilities,28.68
2026-07-03,Rent & Utilities,30.1
